x ,	 y,	 Radius,	 Threshold 
95 , 291 , 70 , 0.61
95 , 293 , 71 , 0.59
94 , 291 , 71 , 0.56
95 , 292 , 70 , 0.56
286 , 289 , 70 , 0.55
287 , 290 , 69 , 0.55
287 , 292 , 70 , 0.55
288 , 291 , 70 , 0.54
95 , 290 , 71 , 0.53
287 , 289 , 71 , 0.52
288 , 290 , 70 , 0.52
90 , 93 , 75 , 0.51
95 , 292 , 72 , 0.51
96 , 291 , 71 , 0.51
286 , 290 , 70 , 0.51
90 , 94 , 75 , 0.5
95 , 291 , 72 , 0.5
96 , 292 , 71 , 0.5
287 , 291 , 71 , 0.49
287 , 290 , 71 , 0.48
288 , 289 , 70 , 0.48
287 , 288 , 70 , 0.47
94 , 292 , 71 , 0.47
95 , 293 , 69 , 0.47
91 , 93 , 74 , 0.46
89 , 94 , 74 , 0.46
192 , 186 , 92 , 0.46
195 , 188 , 93 , 0.46
190 , 185 , 26 , 0.46
289 , 289 , 71 , 0.46
289 , 290 , 70 , 0.46
286 , 291 , 70 , 0.46
93 , 94 , 76 , 0.45
191 , 197 , 143 , 0.45
192 , 189 , 92 , 0.45
285 , 290 , 70 , 0.45
92 , 92 , 76 , 0.44
92 , 94 , 75 , 0.44
191 , 191 , 90 , 0.44
96 , 290 , 71 , 0.44
93 , 292 , 70 , 0.44
93 , 93 , 76 , 0.43
171 , 89 , 10 , 0.43
195 , 187 , 93 , 0.43
196 , 188 , 94 , 0.43
191 , 185 , 27 , 0.43
192 , 185 , 27 , 0.43
193 , 185 , 27 , 0.43
287 , 292 , 68 , 0.43
94 , 294 , 70 , 0.43
90 , 92 , 75 , 0.42
91 , 93 , 76 , 0.42
91 , 94 , 76 , 0.42
92 , 93 , 75 , 0.42
90 , 96 , 74 , 0.42
90 , 98 , 73 , 0.42
193 , 187 , 93 , 0.42
194 , 185 , 28 , 0.42
192 , 185 , 26 , 0.42
287 , 289 , 69 , 0.42
93 , 291 , 70 , 0.42
286 , 292 , 69 , 0.42
89 , 93 , 74 , 0.41
91 , 94 , 74 , 0.41
193 , 188 , 93 , 0.41
190 , 190 , 91 , 0.41
193 , 191 , 90 , 0.41
287 , 212 , 10 , 0.41
97 , 291 , 71 , 0.41
296 , 94 , 76 , 0.4
93 , 92 , 77 , 0.4
90 , 97 , 74 , 0.4
193 , 186 , 93 , 0.4
196 , 187 , 94 , 0.4
197 , 188 , 95 , 0.4
188 , 188 , 24 , 0.4
285 , 289 , 71 , 0.4
289 , 290 , 71 , 0.4
290 , 290 , 71 , 0.4
94 , 290 , 71 , 0.4
93 , 292 , 71 , 0.4
94 , 293 , 70 , 0.4
